,S4,T4,V4,S32,T32,V32,PROC4,PLC4,PROC32,PLC32,S16,T16,V16,PROC16,PLC16,D64,SC,D1_2,D2_4,D4_8,D8_16,D16_32,D32_64,region
TS,32.2030354,0.097786049,0.080137207,15.002352,0.349271492,0.03786193,4.253334875,14.23422424,0.467928568,2.559737999,21.54574687,0.255216757,0.065849085,1.242451348,4.639967024,2.140867,1.739962,2.134287809,2.130211653,2.150630306,2.128884707,2.163362344,2.132155443,KT
JLS,40.30842413,0.136011526,0.089966264,28.00741736,0.623682016,0.068459328,4.22716882,13.71109981,0.567475587,2.012121712,33.564026,0.379483542,0.079077067,1.095448176,3.471119376,2.176511,2.288434,2.213679964,2.187870386,2.150386827,2.171961528,2.132067306,2.255831836,KT
LDS,26.5375523,0.080071943,0.071294183,12.64784321,0.277830338,0.021850706,4.702300643,18.70838156,0.43160271,2.60606546,16.9131783,0.174971058,0.03431176,0.889943832,3.972630145,2.146465,1.708778,2.117886445,2.169715404,2.156389773,2.149087153,2.092245115,2.201565025,KT
HBH,30.34686593,0.108770605,0.065078141,23.78595766,0.565406106,0.063953513,3.859418431,14.38538626,0.548394726,1.788456723,27.07566739,0.328233983,0.066703317,0.939106605,3.607073751,2.155095,1.998283,2.179178844,2.169387942,2.138006016,2.094460266,2.137286402,2.292319793,KT
DiBS,26.0612291,0.070833837,0.048792241,15.35913728,0.29987572,0.02100443,3.687989622,13.94803848,0.344884744,1.599592065,18.97972381,0.186490629,0.027827814,0.826793845,3.319096432,2.109501,1.571647,2.146635,2.144978,2.113512,2.093201,2.055113,2.128465,KT
GW,22.19983074,0.060349743,0.047636109,8.351502883,0.20730242,0.013202455,3.888313926,15.3399354,0.287412409,3.191169153,13.14468668,0.136699608,0.034181578,0.738935348,4.278659203,2.124781,1.45521,2.125547481,2.134164795,2.116449326,2.092675364,2.130448919,2.179805737,LD
CCG,31.98746146,0.093159947,0.080020101,22.27736628,0.366928732,0.012980729,4.518047768,14.83917477,0.2802628,1.027367587,23.48148538,0.223386805,0.02969492,0.86103867,3.184026875,2.141438,1.848779,2.196622529,2.187019875,2.149519025,2.157568769,2.034046735,2.140840892,LY
SL,39.30561051,0.136888779,0.080721687,27.33212752,0.64389689,0.085933131,3.260032369,10.51086861,0.570121382,1.862617002,34.07875217,0.404367989,0.090996752,1.04168892,3.517852284,2.169538,2.330076,2.255037763,2.152828652,2.176386064,2.106763552,2.121427108,2.303920732,LD
JH,34.07340805,0.124825422,0.068543861,27.9855033,0.634762366,0.08501192,3.540742394,12.92652433,0.552413107,1.917740502,30.62038706,0.376208049,0.079176588,1.007284193,3.275951246,2.145285,1.997327,2.123935434,2.120538675,2.122165444,2.14857793,2.156037739,2.229614886,EC
BT,29.06211308,0.073796868,0.063548692,18.46841145,0.317673668,0.016123165,4.993615099,18.46280651,0.386998314,1.543359884,20.79732098,0.217530735,0.039282834,1.019947369,5.696729742,2.142668,1.617211,2.105805531,2.136346562,2.147360626,2.146462222,2.134219927,2.187176266,NC
DC,28.30385426,0.084087501,0.074778469,12.79411309,0.286621634,0.02385717,4.638709619,17.502046,0.416605867,2.338413654,17.86565304,0.193723778,0.038720404,0.961861988,5.065465904,2.165415,1.740994,2.175884682,2.184300047,2.165860695,2.14467662,2.14659683,2.195415934,LY
JQ,32.64150114,0.112469845,0.050140375,25.04762455,0.56710024,0.070313696,3.381570831,12.10043851,0.509965116,2.097621206,29.52077404,0.344019758,0.059630312,0.893110464,2.811581424,2.13479,1.877825,2.123611826,2.102981871,2.107974164,2.13841823,2.138883213,2.23853828,EC
LD,34.50514377,0.107638888,0.097738778,20.67484969,0.387621068,0.008388992,4.699844867,15.98312734,0.241450307,0.873596294,23.33596893,0.255626371,0.049122365,1.171155122,4.529776423,2.160735,1.792224,2.114213294,2.142354734,2.164876965,2.182983891,2.173301443,2.164168008,NC
CK,39.58947539,0.134598575,0.052722705,28.06463556,0.668401955,0.095685573,2.722088935,8.519395174,0.630960702,1.913844757,34.12422076,0.408000897,0.096675545,1.137591758,3.775512123,2.170443,2.080996,2.125388345,2.149982445,2.158456775,2.136556493,2.170571187,2.341126306,LD
TL,23.57169302,0.059603531,0.047177916,11.79083927,0.218688898,0.009268884,3.76104312,14.9142209,0.267468585,1.891691037,14.37119648,0.144451417,0.018948801,0.793771422,4.24738102,2.104275,1.44455,2.136491125,2.124768921,2.099256444,2.065154475,2.12728926,2.087825647,LY
HS,39.85886023,0.144773495,0.064183843,24.25522302,0.67080243,0.110118522,3.763250147,11.63905279,0.744436237,2.456103626,33.49201892,0.417506219,0.114888643,1.26340666,3.899266772,2.173253,2.124754,2.116185962,2.117397209,2.140425878,2.185739795,2.188788882,2.338200167,EC
MYS,16.4386013,0.045379984,0.035918264,6.806845557,0.127840385,0.0049915,4.171340832,21.83911506,0.174339962,1.749291604,8.728775682,0.085546904,0.007875636,0.509037908,4.682572563,2.070282,1.317079,2.108661927,2.116179261,2.078951404,2.059968516,2.003713766,2.069642999,NC
DaBS,22.30836578,0.058521101,0.046973742,10.64565313,0.218727794,0.011043924,3.920314892,15.53931545,0.265981409,1.967383596,13.80435269,0.13683703,0.019199554,0.712020994,3.822741534,2.120286,1.374338,2.102362377,2.106038629,2.112705662,2.097095961,2.125669322,2.21452641,LD
YY,22.2217703,0.060832744,0.052565342,10.27707478,0.199736679,0.008607776,4.332013857,17.97290376,0.252175708,1.970182766,12.57029329,0.129973285,0.018713598,0.771007421,5.083402239,2.110641,1.470109,2.136654402,2.139941356,2.128164006,2.055982917,2.084683182,2.153330979,LY
JMZ,42.57564652,0.161844141,0.101803212,26.55628262,0.724633408,0.121371025,4.050399513,13.58016037,0.674942552,2.683857202,34.66077662,0.45529276,0.132582492,1.343852914,4.000385277,2.1946,2.358623,2.147929621,2.145423487,2.158356827,2.197287101,2.243911793,2.308156271,EC
82.5,35.79695405,0.102975496,0.039725946,34.08893949,0.682977731,0.04316221,3.13800394,9.242264567,0.354235616,1.360989391,34.22099291,0.351472332,0.03748765,0.471455687,5.380102019,2.082288,1.637182,2.059848131,2.059313024,2.069393565,2.048713878,2.075094169,2.247948542,NC
GGB,29.09038504,0.082349746,0.064450812,15.58284241,0.339052096,0.03137768,4.145023689,14.74382958,0.461408904,2.247844231,19.75818472,0.206227496,0.044186032,0.947834864,4.286703533,2.15551,1.627733,2.142028677,2.141365837,2.132064782,2.153132458,2.114265925,2.312947274,LD
HR,34.22675659,0.110916718,0.091575668,20.34777989,0.455251408,0.047207761,4.423259458,14.7385065,0.503470566,2.212128545,24.84089689,0.277473751,0.061732859,1.120540732,4.682016161,2.169561,2.034923,2.18664348,2.206191306,2.170761137,2.160203842,2.106319991,2.213140031,LY
FNL,37.06118586,0.126320909,0.092311181,23.68173521,0.538814281,0.077847574,4.403425181,14.02776166,0.572015245,1.882647171,28.23069439,0.322660085,0.072554134,1.090946663,3.643584431,2.182789,2.143291,2.173417996,2.185572932,2.175761306,2.16432571,2.171833038,2.256765841,EC
CJ,37.43710706,0.132002208,0.070570969,29.69819765,0.65690974,0.080233178,3.66975843,12.2828143,0.488168443,1.838732502,33.84235084,0.390694099,0.071436316,0.962137728,3.296365803,2.13491,1.979722,2.105105617,2.102707404,2.125147404,2.165644643,2.097948265,2.238045764,NC
